Date,Clicks,Impressions,CTR,Position
2026-05-19,3,97,3.09%,15
2026-05-20,3,106,2.83%,23.6
2026-05-21,1,93,1.08%,13.1
2026-05-22,2,68,2.94%,14.8
2026-05-23,3,51,5.88%,14.4
2026-05-24,1,41,2.44%,19.8
2026-05-25,2,71,2.82%,19
2026-05-26,0,78,0%,13.9
2026-05-27,6,76,7.89%,12.9
2026-05-28,2,102,1.96%,13.7
2026-05-29,2,88,2.27%,14.6
2026-05-30,1,123,0.81%,7.1
2026-05-31,1,114,0.88%,9.9
2026-06-01,6,102,5.88%,11.2
2026-06-02,2,84,2.38%,14.6
2026-06-03,4,116,3.45%,14.9
2026-06-04,3,121,2.48%,17
2026-06-05,2,95,2.11%,16.2
2026-06-06,3,95,3.16%,14.8
2026-06-07,3,86,3.49%,12.5
2026-06-08,3,131,2.29%,13.2
2026-06-09,2,101,1.98%,10.6
2026-06-10,2,133,1.5%,8.4
2026-06-11,3,122,2.46%,13.5
2026-06-12,2,118,1.69%,15.1
2026-06-13,3,118,2.54%,19
2026-06-14,3,96,3.12%,15.3
2026-06-15,2,137,1.46%,13.4
2026-06-16,7,136,5.15%,16.9
2026-06-17,2,127,1.57%,15
2026-06-18,5,186,2.69%,14.9
2026-06-19,0,134,0%,15.4
2026-06-20,1,123,0.81%,18.4
2026-06-21,2,150,1.33%,21.1
2026-06-22,7,180,3.89%,16.8
2026-06-23,4,170,2.35%,14.5
2026-06-24,5,157,3.18%,16.5
2026-06-25,6,162,3.7%,27.5
2026-06-26,2,214,0.93%,18.4
2026-06-27,2,106,1.89%,15.5
2026-06-28,1,136,0.74%,12.5
2026-06-29,9,188,4.79%,17.8
2026-06-30,4,164,2.44%,15.7
2026-07-01,3,188,1.6%,17.8
2026-07-02,5,230,2.17%,23.5
2026-07-03,5,298,1.68%,19.7
2026-07-04,3,217,1.38%,10.7
2026-07-05,9,207,4.35%,11
2026-07-06,9,299,3.01%,17.9
2026-07-07,8,353,2.27%,13.7
2026-07-08,6,383,1.57%,19.4
2026-07-09,7,328,2.13%,13.4
2026-07-10,9,308,2.92%,14.3
2026-07-11,6,279,2.15%,14.5
2026-07-12,10,306,3.27%,16.5
2026-07-13,7,441,1.59%,23.3
2026-07-14,11,392,2.81%,15.5
2026-07-15,8,274,2.92%,15.3
2026-07-16,8,415,1.93%,22.5
2026-07-17,5,228,2.19%,10.5
2026-07-18,7,234,2.99%,13
2026-07-19,4,231,1.73%,10
2026-07-20,11,348,3.16%,8
2026-07-21,6,339,1.77%,11.2
2026-07-22,7,290,2.41%,9.8
2026-07-23,6,330,1.82%,14.2
2026-07-24,6,316,1.9%,14.6
2026-07-25,6,246,2.44%,11
2026-07-26,12,326,3.68%,13.8
2026-07-27,14,376,3.72%,16.3
2026-07-28,2,346,0.58%,13.9
2026-07-29,10,356,2.81%,13
2026-07-30,7,376,1.86%,15.6
2026-07-31,5,326,1.53%,12
2026-08-01,11,496,2.22%,16.8
2026-08-02,11,388,2.84%,11
2026-08-03,6,414,1.45%,17.7
2026-08-04,5,410,1.22%,15.6
2026-08-05,7,462,1.52%,13.8
2026-08-06,6,425,1.41%,19.8
2026-08-07,4,357,1.12%,18.2
2026-08-08,9,336,2.68%,12.2
2026-08-09,6,350,1.71%,9.8
2026-08-10,11,443,2.48%,14.3
2026-08-11,7,477,1.47%,19.5
2026-08-12,5,363,1.38%,14.6
2026-08-13,7,552,1.27%,12.3
2026-08-14,7,954,0.73%,12
2026-08-15,9,901,1%,14.1
2026-08-16,13,822,1.58%,11.8
2026-08-17,12,1111,1.08%,15.9
2026-08-18,15,1037,1.45%,13.7
