Country,Clicks,Impressions,CTR,Position
United Kingdom,439,19559,2.24%,16.35
United States,7,1441,0.49%,9.81
Lithuania,6,59,10.17%,6.92
Ireland,5,295,1.69%,7.58
Spain,5,119,4.2%,8.19
Italy,4,129,3.1%,13.5
Turkey,4,59,6.78%,10.78
Sweden,3,67,4.48%,7.09
Netherlands,2,340,0.59%,7.42
India,2,256,0.78%,14.48
Croatia,2,103,1.94%,6.5
France,2,70,2.86%,13.23
Portugal,2,63,3.17%,5.41
New Zealand,2,36,5.56%,9.33
Germany,1,236,0.42%,7.02
Canada,1,128,0.78%,19.73
Poland,1,98,1.02%,7.92
South Africa,1,93,1.08%,7.42
Philippines,1,53,1.89%,14.08
United Arab Emirates,1,52,1.92%,8.56
Norway,1,50,2%,6.24
Czechia,1,40,2.5%,5.05
Belgium,1,39,2.56%,8.77
Russia,1,37,2.7%,10.97
South Korea,1,20,5%,6.95
Argentina,1,19,5.26%,7.53
Taiwan,1,16,6.25%,7.69
Saudi Arabia,1,13,7.69%,12.46
Zimbabwe,1,12,8.33%,7
Romania,0,113,0%,7.99
Australia,0,107,0%,9.94
Finland,0,72,0%,5.93
Bulgaria,0,64,0%,8.17
Greece,0,62,0%,7.03
Japan,0,58,0%,6.57
Thailand,0,57,0%,11.47
Denmark,0,55,0%,6.8
Hungary,0,53,0%,7.96
Brazil,0,42,0%,9.74
Serbia,0,41,0%,5.56
Ukraine,0,39,0%,10.05
Malaysia,0,39,0%,13.92
Slovenia,0,34,0%,6.47
Switzerland,0,33,0%,7.82
Slovakia,0,30,0%,6.57
Austria,0,30,0%,9.43
Vietnam,0,30,0%,16.43
Cyprus,0,27,0%,8.78
Indonesia,0,27,0%,16.74
Albania,0,24,0%,6.25
Mexico,0,24,0%,16.25
Latvia,0,21,0%,5.76
Malta,0,20,0%,8.15
Bosnia & Herzegovina,0,18,0%,5.72
Morocco,0,18,0%,9.22
Colombia,0,18,0%,17.17
Estonia,0,17,0%,6.94
Pakistan,0,17,0%,22.12
Kosovo,0,15,0%,4
Algeria,0,13,0%,25.23
Bangladesh,0,12,0%,21.67
Iraq,0,11,0%,16.64
Israel,0,10,0%,6.3
Jersey,0,10,0%,6.8
Chile,0,9,0%,5.33
Hong Kong,0,9,0%,7.22
Macedonia,0,9,0%,7.56
Singapore,0,9,0%,10.11
Kenya,0,8,0%,6.12
Jordan,0,8,0%,16
Moldova,0,7,0%,3.86
Iceland,0,7,0%,5
Belarus,0,7,0%,8.57
Nigeria,0,7,0%,21.71
Azerbaijan,0,5,0%,3.2
Georgia,0,5,0%,3.8
Mauritius,0,5,0%,4.8
Montenegro,0,5,0%,6.2
Guernsey,0,5,0%,7
Isle of Man,0,5,0%,9.4
Syria,0,4,0%,4.5
Zambia,0,4,0%,6
Egypt,0,4,0%,7
Iran,0,4,0%,9
Sri Lanka,0,4,0%,9.5
Venezuela,0,4,0%,15.5
Tunisia,0,3,0%,1.67
Uganda,0,3,0%,3.67
Ecuador,0,3,0%,5
Libya,0,3,0%,5
Trinidad & Tobago,0,3,0%,5.33
Maldives,0,3,0%,8.33
Oman,0,3,0%,9.33
Senegal,0,3,0%,9.67
Namibia,0,3,0%,10
China,0,3,0%,12.67
Peru,0,3,0%,13.67
Luxembourg,0,3,0%,25
Dominica,0,2,0%,2.5
Jamaica,0,2,0%,3
Kuwait,0,2,0%,4
Lesotho,0,2,0%,4
Costa Rica,0,2,0%,5
Cayman Islands,0,2,0%,7
Guam,0,2,0%,7
Gibraltar,0,2,0%,7.5
Puerto Rico,0,2,0%,10
Kazakhstan,0,2,0%,14
Fiji,0,2,0%,15
Paraguay,0,1,0%,1
Belize,0,1,0%,2
Guatemala,0,1,0%,2
Cambodia,0,1,0%,2
Faroe Islands,0,1,0%,3
Nepal,0,1,0%,3
Seychelles,0,1,0%,3
Mongolia,0,1,0%,4
El Salvador,0,1,0%,4
Barbados,0,1,0%,6
Palestine,0,1,0%,6
Tanzania,0,1,0%,6
Angola,0,1,0%,7
Bahrain,0,1,0%,7
Sierra Leone,0,1,0%,7
Dominican Republic,0,1,0%,8
Cuba,0,1,0%,10
Honduras,0,1,0%,10
Laos,0,1,0%,10
Suriname,0,1,0%,10
Swaziland,0,1,0%,10
Qatar,0,1,0%,11
Malawi,0,1,0%,14
Gambia,0,1,0%,23
Myanmar (Burma),0,1,0%,66
