manufacturer,model,year,engine_dropdown,engine_name,stock_bhp,stage1_bhp,bhp_gain,stock_torque,stage1_torque,torque_gain,options_available,ecus,tools,stage_name,stage_id,parent_vehicle_id
Acura,Integra,2022 -> ...,1.5T VTEC - 182hp,1.5T VTEC,182,220,38,240,300,60,,['Bosch ME17.9'],"['Alientech K-TAG', 'Alientech KESS3', 'Alientech KESSv2', 'bFlash bFlash']",Stage 1,25541,17373
Acura,Integra,2022 -> ...,1.5T VTEC - 200hp,1.5T VTEC,200,220,20,260,300,40,,,"['Alientech K-TAG', 'Bitbox Bitbox']",Stage 1,25542,17374
Acura,RDX,2019 -> 2021,2.0T - 272hp,2.0T,272,300,28,380,465,85,,,,Stage 1,25543,17375
Alfa Romeo,145,1999 -> 2001,2.0 - 155hp,2.0,155,166,11,253,262,9,,,,Stage 1,25608,17482
Alfa Romeo,147,2001 -> 2005,1.6 T-Spark - 105hp,1.6 T-Spark,105,115,10,140,155,15,,['Bosch ME7.3.1'],"['Alientech KESSv2', 'ByteShooter Toolbox']",Stage 1,25437,17201
Alfa Romeo,147,2001 -> 2005,1.6 T-Spark - 120hp,1.6 T-Spark,120,130,10,146,161,15,,['Bosch ME7.3.1'],,Stage 1,25438,17202
Alfa Romeo,147,2001 -> 2005,2.0 T-Spark - 150hp,2.0 T-Spark,150,165,15,172,192,20,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],"['Alientech KESSv2', 'Autotuner']",Stage 1,5502,1
Alfa Romeo,147,2001 -> 2005,3.2 V6 GTA - 250hp,3.2 V6 GTA,250,270,20,300,320,20,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],"['Alientech KESSv2', 'CMDFlash', 'Dimsport New Genius']",Stage 1,5503,2
Alfa Romeo,147,2001 -> 2005,1.9Jtd - 100hp,1.9Jtd,100,135,35,200,265,65,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable']",['Bosch EDC15C7'],,Stage 1,5504,3
Alfa Romeo,147,2001 -> 2005,1.9Jtd - 115hp,1.9Jtd,115,145,30,275,330,55,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable']",['Bosch EDC15C7'],"['Alientech KESSv2', 'CMDFlash']",Stage 1,5505,4
Alfa Romeo,147,2001 -> 2005,1.9Jtd - 136hp,1.9Jtd,136,175,39,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable']",['Bosch EDC16C8'],,Stage 1,5506,5
Alfa Romeo,147,2001 -> 2005,1.9Jtd - 140hp,1.9Jtd,140,175,35,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable']",['Bosch EDC16C8'],"['Alientech KESSv2', 'MagicMotorsport Flex']",Stage 1,5507,6
Alfa Romeo,147,2005 -> ...,1.6 T-Spark - 105hp,1.6 T-Spark,105,115,10,140,155,15,"['Decat', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],,Stage 1,24990,16641
Alfa Romeo,147,2005 -> ...,1.6 T-Spark - 120hp,1.6 T-Spark,120,130,10,146,161,15,"['Decat', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],,Stage 1,24991,16642
Alfa Romeo,147,2005 -> ...,2.0 TS - 150hp,2.0 TS,150,165,15,181,200,19,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],,Stage 1,5508,7
Alfa Romeo,147,2005 -> ...,3.2 V6 GTA - 250hp,3.2 V6 GTA,250,275,25,300,325,25,"['Specific DTC Disable', 'Pops & Bangs', 'Decat', 'Flaps', 'Speed Limiter Disable']",['Bosch ME7.3.1'],,Stage 1,5509,8
Alfa Romeo,147,2005 -> ...,1.9 JTD - 100hp,1.9 JTD,100,135,35,200,265,65,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC15C7'],,Stage 1,5510,9
Alfa Romeo,147,2005 -> ...,1.9 JTD - 115hp,1.9 JTD,115,150,35,275,350,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']","['Bosch EDC15C7', 'Bosch EDC16C39']","['Alientech KESSv2', 'CMDFlash']",Stage 1,5511,10
Alfa Romeo,147,2005 -> ...,1.9 JTD - 120hp,1.9 JTD,120,155,35,285,360,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable']",['Bosch EDC16C39'],"['Alientech KESSv2', 'CMDFlash', 'MagicMotorsport Flex']",Stage 1,5512,11
Alfa Romeo,147,2005 -> ...,1.9 JTD - 126hp,1.9 JTD,126,175,49,330,380,50,,['Bosch EDC16C39'],,Stage 1,5513,12
Alfa Romeo,147,2005 -> ...,1.9 JTD - 136hp,1.9 JTD,136,175,39,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C8'],,Stage 1,5514,13
Alfa Romeo,147,2005 -> ...,1.9 JTD - 140hp,1.9 JTD,140,175,35,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C8'],,Stage 1,5515,14
Alfa Romeo,147,2005 -> ...,1.9 JTD - 150hp,1.9 JTD,150,185,35,305,380,75,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']","['Bosch EDC16C39', 'Bosch EDC16C8']","['Alientech KESSv2', 'Autotuner', 'CMDFlash', 'MagicMotorsport Flex', 'bFlash']",Stage 1,5516,15
Alfa Romeo,147,2005 -> ...,1.9 JTD - 170hp,1.9 JTD,170,190,20,330,390,60,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC16C39'],"['Alientech KESSv2', 'MagicMotorsport Flex']",Stage 1,5517,16
Alfa Romeo,159,1997 -> 2003,1.9Jtd - 105hp,1.9Jtd,105,135,30,255,310,55,"['EGR Disable', 'DPF Disable', 'Specific DTC Disable', 'Flaps', 'Speed Limiter Disable', 'Adblue']",['Bosch EDC15C5'],['Alientech KESSv2'],Stage 1,5520,19
